Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2020-21,Portland Trail Blazers,72,42,30,.583,8360,5th,3rd,5,6th,15,2 - 4,N/A
2019-20,Portland Trail Blazers,74,35,39,.473,8508,3rd,4th,5,8th,15,1 - 4,N/A
2018-19,Portland Trail Blazers,82,53,29,.646,9402,6th,2nd,5,3rd,15,8 - 8,N/A
2017-18,Portland Trail Blazers,82,49,33,.598,8661,16th,1st,5,3rd,15,0 - 4,N/A
2016-17,Portland Trail Blazers,82,41,41,.500,8851,8th,3rd,5,8th,15,0 - 4,N/A
2015-16,Portland Trail Blazers,82,44,38,.537,8622,6th,2nd,5,5th,15,5 - 6,N/A
2014-15,Portland Trail Blazers,82,51,31,.622,8429,9th,1st,5,4th,15,1 - 4,N/A
2013-14,Portland Trail Blazers,82,54,28,.659,8753,4th,2nd,5,5th,15,5 - 6,N/A
2010-11,Portland Trail Blazers,82,48,34,.585,7896,24th,3rd,5,6th,15,2 - 4,N/A
2009-10,Portland Trail Blazers,82,50,32,.610,8045,21st,3rd,5,6th,15,2 - 4,N/A
2008-09,Portland Trail Blazers,82,54,28,.659,8153,14th,2nd,5,4th,15,2 - 4,N/A
2002-03,Portland Trail Blazers,82,50,32,.610,7803,15th,3rd,7,6th,14,3 - 4,N/A
2001-02,Portland Trail Blazers,82,49,33,.598,7925,11th,3rd,7,6th,14,0 - 3,N/A
2000-01,Portland Trail Blazers,82,50,32,.610,7824,14th,4th,7,7th,14,0 - 3,N/A
1999-00,Portland Trail Blazers,82,59,23,.720,7991,16th,2nd,7,3rd,14,10 - 6,N/A
1998-99,Portland Trail Blazers,50,35,15,.700,4742,5th,1st,7,3rd,14,7 - 6,N/A
1997-98,Portland Trail Blazers,82,46,36,.561,7734,19th,4th,7,6th,14,1 - 3,N/A
1996-97,Portland Trail Blazers,82,49,33,.598,8114,11th,3rd,7,5th,14,1 - 3,N/A
1995-96,Portland Trail Blazers,82,44,38,.537,8145,16th,3rd,7,6th,14,2 - 3,N/A
1994-95,Portland Trail Blazers,82,44,38,.537,8451,10th,4th,7,7th,13,0 - 3,N/A
1993-94,Portland Trail Blazers,82,47,35,.573,8795,3rd,4th,7,7th,13,1 - 3,N/A
1992-93,Portland Trail Blazers,82,51,31,.622,8898,4th,3rd,7,4th,13,1 - 3,N/A
1991-92,Portland Trail Blazers,82,57,25,.695,9135,4th,1st,7,1st,13,13 - 8,FINALS APPEARANCE
1990-91,Portland Trail Blazers,82,63,19,.768,9407,3rd,1st,7,1st,14,9 - 7,N/A
1989-90,Portland Trail Blazers,82,59,23,.720,9365,4th,2nd,7,3rd,14,12 - 9,FINALS APPEARANCE
1988-89,Portland Trail Blazers,82,39,43,.476,9395,6th,5th,7,8th,13,0 - 3,N/A
1987-88,Portland Trail Blazers,82,53,29,.646,9518,2nd,2nd,6,3rd,12,1 - 3,N/A
1986-87,Portland Trail Blazers,82,49,33,.598,9667,1st,2nd,6,3rd,12,1 - 3,N/A
1985-86,Portland Trail Blazers,82,40,42,.488,9436,3rd,2nd,6,6th,12,1 - 3,N/A
1984-85,Portland Trail Blazers,82,42,40,.512,9469,4th,2nd,6,5th,12,4 - 5,N/A
1983-84,Portland Trail Blazers,82,48,34,.585,9277,6th,2nd,6,3rd,12,2 - 3,N/A
1982-83,Portland Trail Blazers,82,46,36,.561,8808,15th,4th,6,5th,12,3 - 4,N/A
1981-82,Portland Trail Blazers,82,42,40,.512,9006,9th,5th,6,8th,12,0 - 0,N/A
1980-81,Portland Trail Blazers,82,45,37,.549,9080,6th,3rd,6,4th,12,1 - 2,N/A
1979-80,Portland Trail Blazers,82,38,44,.463,8402,21st,4th,6,6th,11,1 - 2,N/A
1978-79,Portland Trail Blazers,82,45,37,.549,8888,14th,4th,6,6th,11,1 - 2,N/A
1977-78,Portland Trail Blazers,82,58,24,.707,8829,12th,1st,5,1st,11,2 - 4,N/A
1976-77,Portland Trail Blazers,82,49,33,.598,9163,3rd,2nd,5,3rd,11,14 - 5,LEAGUE CHAMPION
1975-76,Portland Trail Blazers,82,37,45,.451,8533,11th,Last,5,7th,9,0 - 0,N/A
1974-75,Portland Trail Blazers,82,38,44,.463,8508,7th,3rd,5,6th,9,0 - 0,N/A
