Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2022-23,LA Clippers,82,44,38,.537,9314,18th,3rd,5,5th,15,1 - 4,N/A
2021-22,LA Clippers,82,42,40,.512,8890,23rd,3rd,5,8th,15,0 - 0,N/A
2020-21,LA Clippers,72,47,25,.653,8209,10th,2nd,5,4th,15,10 - 9,N/A
2019-20,LA Clippers,72,49,23,.681,8377,5th,2nd,5,2nd,15,7 - 6,N/A
2018-19,LA Clippers,82,48,34,.585,9442,5th,2nd,5,8th,15,2 - 4,N/A
2016-17,LA Clippers,82,51,31,.622,8911,6th,2nd,5,4th,15,3 - 4,N/A
2015-16,LA Clippers,82,53,29,.646,8569,7th,2nd,5,4th,15,2 - 4,N/A
2014-15,Los Angeles Clippers,82,56,26,.683,8751,2nd,2nd,5,3rd,15,7 - 7,N/A
2013-14,Los Angeles Clippers,82,57,25,.695,8850,1st,1st,5,3rd,15,6 - 7,N/A
2012-13,Los Angeles Clippers,82,56,26,.683,8289,9th,1st,5,4th,15,2 - 4,N/A
2011-12,Los Angeles Clippers,66,40,26,.606,6438,14th,2nd,5,5th,15,4 - 7,N/A
2005-06,Los Angeles Clippers,82,47,35,.573,7970,17th,2nd,5,6th,15,7 - 5,N/A
1996-97,Los Angeles Clippers,82,36,46,.439,7969,15th,5th,7,8th,14,0 - 3,N/A
1992-93,Los Angeles Clippers,82,41,41,.500,8783,10th,4th,7,7th,13,2 - 3,N/A
1991-92,Los Angeles Clippers,82,45,37,.549,8440,17th,5th,7,7th,13,2 - 3,N/A
1979-80,San Diego Clippers,82,35,47,.427,8820,16th,5th,6,7th,11,0 - 0,N/A
1978-79,San Diego Clippers,82,43,39,.524,9278,6th,5th,6,7th,11,0 - 0,N/A
1975-76,Buffalo Braves,82,46,36,.561,8795,2nd,2nd,4,4th,9,4 - 5,N/A
1974-75,Buffalo Braves,82,49,33,.598,8839,2nd,2nd,4,3rd,9,3 - 4,N/A
