Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2022-23,Memphis Grizzlies,82,51,31,.622,9587,9th,1st,5,2nd,15,2 - 4,N/A
2021-22,Memphis Grizzlies,82,56,26,.683,9480,2nd,1st,5,2nd,15,6 - 6,N/A
2016-17,Memphis Grizzlies,82,43,39,.524,8239,29th,3rd,5,7th,15,2 - 4,N/A
2015-16,Memphis Grizzlies,82,42,40,.512,8126,24th,3rd,5,7th,15,0 - 4,N/A
2014-15,Memphis Grizzlies,82,55,27,.671,8062,20th,2nd,5,5th,15,6 - 5,N/A
2013-14,Memphis Grizzlies,82,50,32,.610,7884,27th,3rd,5,7th,15,3 - 4,N/A
2012-13,Memphis Grizzlies,82,56,26,.683,7659,27th,2nd,5,5th,15,8 - 7,N/A
2011-12,Memphis Grizzlies,66,41,25,.621,6269,20th,2nd,5,4th,15,3 - 4,N/A
2010-11,Memphis Grizzlies,82,46,36,.561,8195,12th,4th,5,8th,15,7 - 6,N/A
2005-06,Memphis Grizzlies,82,49,33,.598,7558,27th,3rd,5,5th,15,0 - 4,N/A
2004-05,Memphis Grizzlies,82,45,37,.549,7661,23rd,4th,5,8th,15,0 - 4,N/A
2003-04,Memphis Grizzlies,82,50,32,.610,7930,7th,4th,7,6th,14,0 - 4,N/A
