Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2021-22,Utah Jazz,82,49,33,.598,9316,7th,1st,5,5th,15,2 - 4,N/A
2020-21,Utah Jazz,72,52,20,.722,8382,4th,1st,5,1st,15,6 - 5,N/A
2019-20,Utah Jazz,72,44,28,.611,8013,18th,3rd,5,6th,15,3 - 4,N/A
2018-19,Utah Jazz,82,50,32,.610,9161,17th,3rd,5,5th,15,1 - 4,N/A
2017-18,Utah Jazz,82,48,34,.585,8540,19th,3rd,5,5th,15,5 - 6,N/A
2016-17,Utah Jazz,82,51,31,.622,8258,28th,1st,5,5th,15,4 - 7,N/A
2011-12,Utah Jazz,66,36,30,.545,6577,4th,3rd,5,8th,15,0 - 4,N/A
2009-10,Utah Jazz,82,53,29,.646,8547,4th,2nd,5,5th,15,4 - 6,N/A
2008-09,Utah Jazz,82,48,34,.585,8492,7th,3rd,5,8th,15,1 - 4,N/A
2007-08,Utah Jazz,82,54,28,.659,8710,5th,1st,5,4th,15,6 - 6,N/A
2006-07,Utah Jazz,82,51,31,.622,8322,7th,1st,5,4th,15,9 - 8,N/A
2002-03,Utah Jazz,82,47,35,.573,7762,17th,4th,7,7th,14,1 - 4,N/A
2001-02,Utah Jazz,82,44,38,.537,7871,14th,4th,7,8th,14,1 - 3,N/A
2000-01,Utah Jazz,82,53,29,.646,7959,10th,2nd,7,4th,14,2 - 3,N/A
1999-00,Utah Jazz,82,55,27,.671,7914,20th,1st,7,2nd,14,4 - 6,N/A
1998-99,Utah Jazz,50,37,13,.740,4666,9th,1st,7,1st,14,5 - 6,N/A
1997-98,Utah Jazz,82,62,20,.756,8279,3rd,1st,7,1st,14,13 - 7,FINALS APPEARANCE
1996-97,Utah Jazz,82,64,18,.780,8454,2nd,1st,7,1st,14,13 - 7,FINALS APPEARANCE
1995-96,Utah Jazz,82,55,27,.671,8404,11th,2nd,7,3rd,14,10 - 8,N/A
1994-95,Utah Jazz,82,60,22,.732,8726,5th,2nd,6,3rd,13,2 - 3,N/A
1993-94,Utah Jazz,82,53,29,.646,8354,10th,3rd,6,5th,13,8 - 8,N/A
1992-93,Utah Jazz,82,47,35,.573,8709,11th,3rd,6,6th,13,2 - 3,N/A
1991-92,Utah Jazz,82,55,27,.671,8877,8th,1st,6,2nd,13,9 - 7,N/A
1990-91,Utah Jazz,82,54,28,.659,8527,16th,2nd,7,5th,14,4 - 5,N/A
1989-90,Utah Jazz,82,55,27,.671,8760,15th,2nd,7,4th,14,2 - 3,N/A
1988-89,Utah Jazz,82,51,31,.622,8588,21st,1st,6,2nd,13,0 - 3,N/A
1987-88,Utah Jazz,82,47,35,.573,8899,11th,3rd,6,5th,12,6 - 5,N/A
1986-87,Utah Jazz,82,44,38,.537,8844,15th,2nd,6,4th,12,2 - 3,N/A
1985-86,Utah Jazz,82,42,40,.512,8871,18th,4th,6,5th,12,1 - 3,N/A
1984-85,Utah Jazz,82,41,41,.500,8937,14th,4th,6,6th,12,4 - 6,N/A
1983-84,Utah Jazz,82,45,37,.549,9428,5th,1st,6,2nd,12,5 - 6,N/A
1977-78,New Orleans Jazz,82,39,43,.476,8826,13th,5th,6,7th,11,0 - 0,N/A
1976-77,New Orleans Jazz,82,35,47,.427,8574,16th,5th,6,8th,11,0 - 0,N/A
1975-76,New Orleans Jazz,82,38,44,.463,8535,10th,4th,5,7th,9,0 - 0,N/A
