Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2023-24,Los Angeles Lakers,13,7,6,.538,1461,6th,2nd,5,7th,15,0 - 0,N/A
2022-23,Los Angeles Lakers,82,43,39,.524,9608,6th,Last,5,7th,15,8 - 8,N/A
2020-21,Los Angeles Lakers,72,42,30,.583,7887,22nd,3rd,5,7th,15,2 - 4,N/A
2019-20,Los Angeles Lakers,71,52,19,.732,8054,16th,1st,5,1st,15,16 - 5,LEAGUE CHAMPION
2012-13,Los Angeles Lakers,82,45,37,.549,8381,6th,3rd,5,7th,15,0 - 4,N/A
2011-12,Los Angeles Lakers,66,41,25,.621,6422,15th,1st,5,3rd,15,5 - 7,N/A
2010-11,Los Angeles Lakers,82,57,25,.695,8321,9th,1st,5,2nd,15,4 - 6,N/A
2009-10,Los Angeles Lakers,82,57,25,.695,8339,12th,1st,5,1st,15,16 - 7,LEAGUE CHAMPION
2008-09,Los Angeles Lakers,82,65,17,.793,8768,3rd,1st,5,1st,15,16 - 7,LEAGUE CHAMPION
2007-08,Los Angeles Lakers,82,57,25,.695,8904,4th,1st,5,1st,15,14 - 7,FINALS APPEARANCE
2006-07,Los Angeles Lakers,82,42,40,.512,8474,5th,3rd,5,7th,15,1 - 4,N/A
2005-06,Los Angeles Lakers,82,45,37,.549,8154,7th,3rd,5,7th,15,3 - 4,N/A
2003-04,Los Angeles Lakers,82,56,26,.683,8052,3rd,1st,7,2nd,14,13 - 9,FINALS APPEARANCE
2002-03,Los Angeles Lakers,82,50,32,.610,8230,4th,2nd,7,5th,14,6 - 6,N/A
2001-02,Los Angeles Lakers,82,58,24,.707,8304,3rd,2nd,7,3rd,14,15 - 4,LEAGUE CHAMPION
2000-01,Los Angeles Lakers,82,56,26,.683,8251,3rd,1st,7,2nd,14,15 - 1,LEAGUE CHAMPION
1999-00,Los Angeles Lakers,82,67,15,.817,8267,6th,1st,7,1st,14,15 - 8,LEAGUE CHAMPION
1998-99,Los Angeles Lakers,50,31,19,.620,4950,2nd,2nd,7,4th,14,3 - 5,N/A
1997-98,Los Angeles Lakers,82,61,21,.744,8652,1st,1st,7,2nd,14,7 - 6,N/A
1996-97,Los Angeles Lakers,82,56,26,.683,8200,8th,2nd,7,4th,14,4 - 5,N/A
1995-96,Los Angeles Lakers,82,53,29,.646,8438,7th,2nd,7,4th,14,1 - 3,N/A
1994-95,Los Angeles Lakers,82,48,34,.585,8616,7th,3rd,7,5th,13,5 - 5,N/A
1992-93,Los Angeles Lakers,82,39,43,.476,8546,17th,5th,7,8th,13,2 - 3,N/A
1991-92,Los Angeles Lakers,82,43,39,.524,8229,24th,6th,7,8th,13,1 - 3,N/A
1990-91,Los Angeles Lakers,82,58,24,.707,8717,13th,2nd,7,3rd,14,12 - 7,FINALS APPEARANCE
1989-90,Los Angeles Lakers,82,63,19,.768,9079,6th,1st,7,1st,14,4 - 5,N/A
1988-89,Los Angeles Lakers,82,57,25,.695,9406,5th,1st,7,1st,13,11 - 4,FINALS APPEARANCE
1987-88,Los Angeles Lakers,82,62,20,.756,9250,5th,1st,6,1st,12,15 - 9,LEAGUE CHAMPION
1986-87,Los Angeles Lakers,82,65,17,.793,9656,2nd,1st,6,1st,12,15 - 3,LEAGUE CHAMPION
1985-86,Los Angeles Lakers,82,62,20,.756,9618,1st,1st,6,1st,12,8 - 6,N/A
1984-85,Los Angeles Lakers,82,62,20,.756,9696,2nd,1st,6,1st,12,15 - 4,LEAGUE CHAMPION
1983-84,Los Angeles Lakers,82,54,28,.659,9478,4th,1st,6,1st,12,14 - 7,FINALS APPEARANCE
1982-83,Los Angeles Lakers,82,58,24,.707,9433,2nd,1st,6,1st,12,8 - 7,FINALS APPEARANCE
1981-82,Los Angeles Lakers,82,57,25,.695,9400,2nd,1st,6,1st,12,12 - 2,LEAGUE CHAMPION
1980-81,Los Angeles Lakers,82,54,28,.659,9117,5th,2nd,6,3rd,12,1 - 2,N/A
1979-80,Los Angeles Lakers,82,60,22,.732,9438,2nd,1st,6,1st,11,12 - 4,LEAGUE CHAMPION
1978-79,Los Angeles Lakers,82,47,35,.573,9260,8th,3rd,6,4th,11,3 - 5,N/A
1977-78,Los Angeles Lakers,82,45,37,.549,9044,8th,4th,5,5th,11,1 - 2,N/A
1976-77,Los Angeles Lakers,82,53,29,.646,8763,10th,1st,5,1st,11,4 - 7,N/A
1975-76,Los Angeles Lakers,82,40,42,.488,8764,3rd,4th,5,6th,9,0 - 0,N/A
