Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2023-24,Denver Nuggets,11,9,2,.818,1259,15th,1st,5,1st,15,0 - 0,N/A
2022-23,Denver Nuggets,82,53,29,.646,9495,12th,1st,5,1st,15,16 - 4,LEAGUE CHAMPION
2021-22,Denver Nuggets,82,48,34,.585,9243,10th,2nd,5,6th,15,1 - 4,N/A
2020-21,Denver Nuggets,72,47,25,.653,8284,8th,2nd,5,3rd,15,4 - 6,N/A
2019-20,Denver Nuggets,73,46,27,.630,8124,12th,1st,5,3rd,15,9 - 10,N/A
2018-19,Denver Nuggets,82,54,28,.659,9075,20th,1st,5,2nd,15,7 - 7,N/A
2012-13,Denver Nuggets,82,57,25,.695,8704,1st,2nd,5,3rd,15,2 - 4,N/A
2011-12,Denver Nuggets,66,38,28,.576,6872,1st,2nd,5,6th,15,3 - 4,N/A
2010-11,Denver Nuggets,82,50,32,.610,8811,1st,2nd,5,5th,15,1 - 4,N/A
2009-10,Denver Nuggets,82,53,29,.646,8729,3rd,1st,5,4th,15,2 - 4,N/A
2008-09,Denver Nuggets,82,54,28,.659,8555,6th,1st,5,2nd,15,10 - 6,N/A
2007-08,Denver Nuggets,82,50,32,.610,9074,2nd,2nd,5,8th,15,0 - 4,N/A
2006-07,Denver Nuggets,82,45,37,.549,8639,3rd,2nd,5,6th,15,1 - 4,N/A
2005-06,Denver Nuggets,82,44,38,.537,8227,5th,1st,5,4th,15,1 - 4,N/A
2004-05,Denver Nuggets,82,49,33,.598,8161,8th,2nd,5,7th,15,1 - 4,N/A
2003-04,Denver Nuggets,82,43,39,.524,7972,5th,6th,7,8th,14,1 - 4,N/A
1994-95,Denver Nuggets,82,41,41,.500,8309,13th,4th,6,8th,13,0 - 3,N/A
1993-94,Denver Nuggets,82,42,40,.512,8221,19th,4th,6,8th,13,6 - 6,N/A
1989-90,Denver Nuggets,82,43,39,.524,9397,3rd,4th,7,7th,14,0 - 3,N/A
1988-89,Denver Nuggets,82,44,38,.537,9675,2nd,3rd,6,6th,13,0 - 3,N/A
1987-88,Denver Nuggets,82,54,28,.659,9573,1st,1st,6,2nd,12,5 - 6,N/A
1986-87,Denver Nuggets,82,37,45,.451,9569,3rd,4th,6,8th,12,0 - 3,N/A
1985-86,Denver Nuggets,82,47,35,.573,9410,4th,2nd,6,3rd,12,5 - 5,N/A
1984-85,Denver Nuggets,82,52,30,.634,9841,1st,1st,6,2nd,12,8 - 7,N/A
1983-84,Denver Nuggets,82,38,44,.463,10147,1st,3rd,6,7th,12,2 - 3,N/A
1982-83,Denver Nuggets,82,45,37,.549,10105,1st,2nd,6,6th,12,3 - 5,N/A
1981-82,Denver Nuggets,82,46,36,.561,10371,1st,2nd,6,4th,12,1 - 2,N/A
1980-81,Denver Nuggets,82,37,45,.451,9986,1st,4th,6,8th,12,0 - 0,N/A
1979-80,Denver Nuggets,82,30,52,.366,8878,14th,3rd,5,8th,11,0 - 0,N/A
1978-79,Denver Nuggets,82,47,35,.573,9080,9th,2nd,5,4th,11,1 - 2,N/A
1977-78,Denver Nuggets,82,48,34,.585,9164,6th,1st,6,2nd,11,6 - 7,N/A
1976-77,Denver Nuggets,82,50,32,.610,9233,2nd,1st,6,2nd,11,2 - 4,N/A
