Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2023-24,Houston Rockets,10,6,4,.600,1099,30th,2nd,5,6th,15,0 - 0,N/A
2019-20,Houston Rockets,72,44,28,.611,8482,4th,1st,5,4th,15,5 - 7,N/A
2018-19,Houston Rockets,82,53,29,.646,9341,11th,1st,5,4th,15,6 - 5,N/A
2017-18,Houston Rockets,82,65,17,.793,9213,2nd,1st,5,1st,15,11 - 6,N/A
2016-17,Houston Rockets,82,55,27,.671,9458,2nd,2nd,5,3rd,15,6 - 5,N/A
2015-16,Houston Rockets,82,41,41,.500,8737,4th,4th,5,8th,15,1 - 4,N/A
2014-15,Houston Rockets,82,56,26,.683,8522,6th,1st,5,2nd,15,9 - 8,N/A
2013-14,Houston Rockets,82,54,28,.659,8829,2nd,2nd,5,4th,15,2 - 4,N/A
2012-13,Houston Rockets,82,45,37,.549,8688,2nd,3rd,5,8th,15,2 - 4,N/A
2008-09,Houston Rockets,82,53,29,.646,8070,17th,2nd,5,5th,15,7 - 6,N/A
2007-08,Houston Rockets,82,55,27,.671,7931,22nd,3rd,5,5th,15,2 - 4,N/A
2006-07,Houston Rockets,82,52,30,.634,7953,17th,3rd,5,5th,15,3 - 4,N/A
2004-05,Houston Rockets,82,51,31,.622,7796,20th,3rd,5,5th,15,3 - 4,N/A
2003-04,Houston Rockets,82,45,37,.549,7362,25th,5th,7,7th,14,1 - 4,N/A
1998-99,Houston Rockets,50,31,19,.620,4711,7th,3rd,7,4th,14,1 - 3,N/A
1997-98,Houston Rockets,82,41,41,.500,8099,7th,4th,7,8th,14,2 - 3,N/A
1996-97,Houston Rockets,82,57,25,.695,8248,5th,2nd,7,2nd,14,9 - 7,N/A
1995-96,Houston Rockets,82,48,34,.585,8404,11th,3rd,7,5th,14,3 - 5,N/A
1994-95,Houston Rockets,82,47,35,.573,8491,8th,3rd,6,6th,13,15 - 7,LEAGUE CHAMPION
1993-94,Houston Rockets,82,58,24,.707,8292,13th,1st,6,2nd,13,15 - 8,LEAGUE CHAMPION
1992-93,Houston Rockets,82,55,27,.671,8531,18th,1st,6,2nd,13,6 - 6,N/A
1990-91,Houston Rockets,82,52,30,.634,8753,10th,3rd,7,6th,14,0 - 3,N/A
1989-90,Houston Rockets,82,41,41,.500,8752,16th,5th,7,8th,14,1 - 3,N/A
1988-89,Houston Rockets,82,45,37,.549,8897,13th,2nd,6,5th,13,1 - 3,N/A
1987-88,Houston Rockets,82,46,36,.561,8935,9th,4th,6,6th,12,1 - 3,N/A
1986-87,Houston Rockets,82,42,40,.512,8765,16th,3rd,6,5th,12,5 - 5,N/A
1985-86,Houston Rockets,82,51,31,.622,9379,6th,1st,6,2nd,12,13 - 7,FINALS APPEARANCE
1984-85,Houston Rockets,82,48,34,.585,9118,9th,2nd,6,3rd,12,2 - 3,N/A
1981-82,Houston Rockets,82,46,36,.561,8680,18th,2nd,6,4th,12,1 - 2,N/A
1980-81,Houston Rockets,82,40,42,.488,8878,11th,2nd,6,5th,12,12 - 9,FINALS APPEARANCE
1979-80,Houston Rockets,82,41,41,.500,9084,8th,2nd,6,4th,11,2 - 5,N/A
1978-79,Houston Rockets,82,47,35,.573,9297,5th,2nd,6,3rd,11,0 - 2,N/A
1976-77,Houston Rockets,82,49,33,.598,8726,12th,1st,6,2nd,11,6 - 6,N/A
1975-76,Houston Rockets,82,40,42,.488,8708,6th,3rd,5,6th,9,0 - 0,N/A
1974-75,Houston Rockets,82,41,41,.500,8521,6th,2nd,5,4th,9,3 - 5,N/A
