Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2018-19,San Antonio Spurs,82,48,34,.585,9156,18th,2nd,5,7th,15,3 - 4,N/A
2017-18,San Antonio Spurs,82,47,35,.573,8424,27th,3rd,5,7th,15,1 - 4,N/A
2016-17,San Antonio Spurs,82,61,21,.744,8637,14th,1st,5,2nd,15,8 - 8,N/A
2015-16,San Antonio Spurs,82,67,15,.817,8490,10th,1st,5,2nd,15,6 - 4,N/A
2014-15,San Antonio Spurs,82,55,27,.671,8461,7th,3rd,5,6th,15,3 - 4,N/A
2013-14,San Antonio Spurs,82,62,20,.756,8639,6th,1st,5,1st,15,16 - 7,LEAGUE CHAMPION
2012-13,San Antonio Spurs,82,58,24,.707,8448,4th,1st,5,2nd,15,15 - 6,FINALS APPEARANCE
2011-12,San Antonio Spurs,66,50,16,.758,6841,2nd,1st,5,1st,15,10 - 4,N/A
2010-11,San Antonio Spurs,82,61,21,.744,8502,6th,1st,5,1st,15,2 - 4,N/A
2009-10,San Antonio Spurs,82,50,32,.610,8312,15th,2nd,5,7th,15,4 - 6,N/A
2008-09,San Antonio Spurs,82,54,28,.659,7958,23rd,1st,5,3rd,15,1 - 4,N/A
2007-08,San Antonio Spurs,82,56,26,.683,7820,27th,2nd,5,3rd,15,9 - 8,N/A
2006-07,San Antonio Spurs,82,58,24,.707,8079,14th,2nd,5,3rd,15,16 - 4,LEAGUE CHAMPION
2005-06,San Antonio Spurs,82,63,19,.768,7837,21st,1st,5,1st,15,7 - 6,N/A
2004-05,San Antonio Spurs,82,59,23,.720,7888,18th,1st,5,2nd,15,16 - 7,LEAGUE CHAMPION
2003-04,San Antonio Spurs,82,57,25,.695,7501,19th,2nd,7,3rd,14,6 - 4,N/A
2002-03,San Antonio Spurs,82,60,22,.732,7856,12th,1st,7,1st,14,16 - 8,LEAGUE CHAMPION
2001-02,San Antonio Spurs,82,58,24,.707,7932,10th,1st,7,2nd,14,4 - 6,N/A
2000-01,San Antonio Spurs,82,58,24,.707,7886,12th,1st,7,1st,14,7 - 6,N/A
1999-00,San Antonio Spurs,82,53,29,.646,7886,21st,2nd,7,4th,14,1 - 3,N/A
1998-99,San Antonio Spurs,50,37,13,.740,4640,13th,1st,7,1st,14,15 - 2,LEAGUE CHAMPION
1997-98,San Antonio Spurs,82,56,26,.683,7587,23rd,2nd,7,4th,14,4 - 5,N/A
1995-96,San Antonio Spurs,82,59,23,.720,8477,6th,1st,7,2nd,14,5 - 5,N/A
1994-95,San Antonio Spurs,82,62,20,.756,8742,4th,1st,6,1st,13,9 - 6,N/A
1993-94,San Antonio Spurs,82,55,27,.671,8202,20th,2nd,6,4th,13,1 - 3,N/A
1992-93,San Antonio Spurs,82,49,33,.598,8652,12th,2nd,6,5th,13,5 - 5,N/A
1991-92,San Antonio Spurs,82,47,35,.573,8524,16th,2nd,6,5th,13,0 - 3,N/A
1990-91,San Antonio Spurs,82,55,27,.671,8782,9th,1st,7,2nd,14,1 - 3,N/A
1989-90,San Antonio Spurs,82,56,26,.683,8718,17th,1st,7,2nd,14,6 - 4,N/A
1987-88,San Antonio Spurs,82,31,51,.378,9314,4th,5th,6,8th,12,0 - 3,N/A
1985-86,San Antonio Spurs,82,35,47,.427,9120,10th,Last,6,8th,12,0 - 3,N/A
1984-85,San Antonio Spurs,82,41,41,.500,9412,6th,4th,6,6th,12,2 - 3,N/A
1982-83,San Antonio Spurs,82,53,29,.646,9375,3rd,1st,6,2nd,12,6 - 5,N/A
1981-82,San Antonio Spurs,82,48,34,.585,9272,3rd,1st,6,2nd,12,4 - 5,N/A
1980-81,San Antonio Spurs,82,52,30,.634,9209,3rd,1st,6,2nd,12,3 - 4,N/A
1979-80,San Antonio Spurs,82,41,41,.500,9788,1st,2nd,6,4th,11,1 - 2,N/A
1978-79,San Antonio Spurs,82,48,34,.585,9780,1st,1st,6,2nd,11,7 - 7,N/A
1977-78,San Antonio Spurs,82,52,30,.634,9385,2nd,1st,6,2nd,11,2 - 4,N/A
1976-77,San Antonio Spurs,82,44,38,.537,9432,1st,3rd,6,4th,11,0 - 2,N/A
