Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2023-24,Oklahoma City Thunder,13,9,4,.692,1540,4th,3rd,5,4th,15,0 - 0,N/A
2019-20,Oklahoma City Thunder,72,44,28,.611,7950,20th,2nd,5,5th,15,3 - 4,N/A
2018-19,Oklahoma City Thunder,82,49,33,.598,9387,7th,4th,5,6th,15,1 - 4,N/A
2017-18,Oklahoma City Thunder,82,48,34,.585,8844,12th,2nd,5,4th,15,2 - 4,N/A
2016-17,Oklahoma City Thunder,82,47,35,.573,8741,11th,2nd,5,6th,15,1 - 4,N/A
2015-16,Oklahoma City Thunder,82,55,27,.671,9038,2nd,1st,5,3rd,15,11 - 7,N/A
2013-14,Oklahoma City Thunder,82,59,23,.720,8705,5th,1st,5,2nd,15,10 - 9,N/A
2012-13,Oklahoma City Thunder,82,60,22,.732,8669,3rd,1st,5,1st,15,5 - 6,N/A
2011-12,Oklahoma City Thunder,66,47,19,.712,6802,3rd,1st,5,2nd,15,13 - 7,FINALS APPEARANCE
2010-11,Oklahoma City Thunder,82,55,27,.671,8596,5th,1st,5,4th,15,9 - 8,N/A
2009-10,Oklahoma City Thunder,82,50,32,.610,8322,14th,4th,5,8th,15,2 - 4,N/A
2004-05,Seattle SuperSonics,82,52,30,.634,8113,11th,1st,5,4th,15,6 - 5,N/A
2001-02,Seattle SuperSonics,82,45,37,.549,8014,6th,4th,7,7th,14,2 - 3,N/A
1999-00,Seattle SuperSonics,82,45,37,.549,8125,10th,4th,7,7th,14,2 - 3,N/A
1998-99,Seattle SuperSonics,50,25,25,.500,4743,4th,5th,7,8th,14,0 - 0,N/A
1997-98,Seattle SuperSonics,82,61,21,.744,8246,4th,1st,7,2nd,14,4 - 6,N/A
1996-97,Seattle SuperSonics,82,57,25,.695,8274,4th,1st,7,2nd,14,6 - 6,N/A
1995-96,Seattle SuperSonics,82,64,18,.780,8572,2nd,1st,7,1st,14,13 - 8,FINALS APPEARANCE
1994-95,Seattle SuperSonics,82,57,25,.695,9055,3rd,2nd,7,4th,13,1 - 3,N/A
1993-94,Seattle SuperSonics,82,63,19,.768,8687,5th,1st,7,1st,13,2 - 3,N/A
1992-93,Seattle SuperSonics,82,55,27,.671,8884,5th,2nd,7,2nd,13,10 - 9,N/A
1991-92,Seattle SuperSonics,82,47,35,.573,8737,10th,4th,7,5th,13,4 - 5,N/A
1990-91,Seattle SuperSonics,82,41,41,.500,8744,11th,5th,7,8th,14,2 - 3,N/A
1989-90,Seattle SuperSonics,82,41,41,.500,8769,14th,4th,7,8th,14,0 - 0,N/A
1988-89,Seattle SuperSonics,82,47,35,.573,9196,7th,3rd,7,4th,13,3 - 5,N/A
1987-88,Seattle SuperSonics,82,44,38,.537,9135,6th,3rd,6,7th,12,2 - 3,N/A
1986-87,Seattle SuperSonics,82,39,43,.476,9325,5th,4th,6,7th,12,7 - 7,N/A
1983-84,Seattle SuperSonics,82,42,40,.512,8865,15th,3rd,6,5th,12,2 - 3,N/A
1982-83,Seattle SuperSonics,82,48,34,.585,9019,10th,3rd,6,4th,12,0 - 2,N/A
1981-82,Seattle SuperSonics,82,52,30,.634,8795,12th,2nd,6,3rd,12,3 - 5,N/A
1979-80,Seattle SuperSonics,82,56,26,.683,8897,12th,2nd,6,3rd,11,7 - 8,N/A
1978-79,Seattle SuperSonics,82,52,30,.634,8740,19th,1st,6,1st,11,12 - 5,LEAGUE CHAMPION
1977-78,Seattle SuperSonics,82,47,35,.573,8565,18th,3rd,5,4th,11,13 - 9,FINALS APPEARANCE
1976-77,Seattle SuperSonics,82,40,42,.488,8524,18th,4th,5,7th,11,0 - 0,N/A
1975-76,Seattle SuperSonics,82,43,39,.524,8726,5th,2nd,5,3rd,9,2 - 4,N/A
1974-75,Seattle SuperSonics,82,43,39,.524,8451,9th,2nd,5,4th,9,4 - 5,N/A
