Season,Team,GP,W,L,WIN%,PTS,PTS Rank,Division Rank,Division Count,Conference Rank,Conference Count,Playoff Record,Finals Result
2022-23,Golden State Warriors,82,44,38,.537,9753,2nd,4th,5,6th,15,6 - 7,N/A
2021-22,Golden State Warriors,82,53,29,.646,9102,15th,2nd,5,3rd,15,16 - 6,LEAGUE CHAMPION
2020-21,Golden State Warriors,72,39,33,.542,8187,12th,4th,5,8th,15,0 - 0,N/A
2018-19,Golden State Warriors,82,57,25,.695,9650,2nd,1st,5,1st,15,14 - 8,FINALS APPEARANCE
2017-18,Golden State Warriors,82,58,24,.707,9304,1st,1st,5,2nd,15,16 - 5,LEAGUE CHAMPION
2016-17,Golden State Warriors,82,67,15,.817,9503,1st,1st,5,1st,15,16 - 1,LEAGUE CHAMPION
2015-16,Golden State Warriors,82,73,9,.890,9421,1st,1st,5,1st,15,15 - 9,FINALS APPEARANCE
2014-15,Golden State Warriors,82,67,15,.817,9016,1st,1st,5,1st,15,16 - 5,LEAGUE CHAMPION
2013-14,Golden State Warriors,82,51,31,.622,8549,10th,2nd,5,6th,15,3 - 4,N/A
2012-13,Golden State Warriors,82,47,35,.573,8296,7th,2nd,5,6th,15,6 - 6,N/A
2006-07,Golden State Warriors,82,42,40,.512,8737,2nd,2nd,5,8th,15,5 - 6,N/A
1993-94,Golden State Warriors,82,50,32,.610,8844,2nd,3rd,7,6th,13,0 - 3,N/A
1991-92,Golden State Warriors,82,55,27,.671,9732,1st,2nd,7,2nd,13,1 - 3,N/A
1990-91,Golden State Warriors,82,44,38,.537,9564,2nd,4th,7,7th,14,4 - 5,N/A
1988-89,Golden State Warriors,82,43,39,.524,9558,4th,4th,7,7th,13,4 - 4,N/A
1986-87,Golden State Warriors,82,42,40,.512,9188,7th,3rd,6,5th,12,4 - 6,N/A
1981-82,Golden State Warriors,82,45,37,.549,9092,8th,4th,6,7th,12,0 - 0,N/A
1980-81,Golden State Warriors,82,39,43,.476,9006,9th,4th,6,7th,12,0 - 0,N/A
1978-79,Golden State Warriors,82,38,44,.463,8621,21st,Last,6,8th,11,0 - 0,N/A
1977-78,Golden State Warriors,82,43,39,.524,8698,15th,Last,5,7th,11,0 - 0,N/A
1976-77,Golden State Warriors,82,46,36,.561,9097,4th,3rd,5,4th,11,5 - 5,N/A
1975-76,Golden State Warriors,82,59,23,.720,9002,1st,1st,5,1st,9,7 - 6,N/A
1974-75,Golden State Warriors,82,48,34,.585,8898,1st,1st,5,1st,9,12 - 5,LEAGUE CHAMPION
