Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2020-21,Portland Trail Blazers,72,42,30,0.583,8360,5th,3rd,5,6th,15,
2019-20,Portland Trail Blazers,74,35,39,0.473,8508,3rd,4th,5,8th,15,
2018-19,Portland Trail Blazers,82,53,29,0.646,9402,6th,2nd,5,3rd,15,
2017-18,Portland Trail Blazers,82,49,33,0.598,8661,16th,1st,5,3rd,15,
2016-17,Portland Trail Blazers,82,41,41,0.5,8851,8th,3rd,5,8th,15,
2015-16,Portland Trail Blazers,82,44,38,0.537,8622,6th,2nd,5,5th,15,
2014-15,Portland Trail Blazers,82,51,31,0.622,8429,9th,1st,5,4th,15,
2013-14,Portland Trail Blazers,82,54,28,0.659,8753,4th,2nd,5,5th,15,
2010-11,Portland Trail Blazers,82,48,34,0.585,7896,24th,3rd,5,6th,15,
2009-10,Portland Trail Blazers,82,50,32,0.61,8045,21st,3rd,5,6th,15,
2008-09,Portland Trail Blazers,82,54,28,0.659,8153,14th,2nd,5,4th,15,
2002-03,Portland Trail Blazers,82,50,32,0.61,7803,15th,3rd,7,6th,14,
2001-02,Portland Trail Blazers,82,49,33,0.598,7925,11th,3rd,7,6th,14,
2000-01,Portland Trail Blazers,82,50,32,0.61,7824,14th,4th,7,7th,14,
1999-00,Portland Trail Blazers,82,59,23,0.72,7991,16th,2nd,7,3rd,14,
1998-99,Portland Trail Blazers,50,35,15,0.7,4742,5th,1st,7,3rd,14,
1997-98,Portland Trail Blazers,82,46,36,0.561,7734,19th,4th,7,6th,14,
1996-97,Portland Trail Blazers,82,49,33,0.598,8114,11th,3rd,7,5th,14,
1995-96,Portland Trail Blazers,82,44,38,0.537,8145,16th,3rd,7,6th,14,
1994-95,Portland Trail Blazers,82,44,38,0.537,8451,10th,4th,7,7th,13,
1993-94,Portland Trail Blazers,82,47,35,0.573,8795,3rd,4th,7,7th,13,
1992-93,Portland Trail Blazers,82,51,31,0.622,8898,4th,3rd,7,4th,13,
1991-92,Portland Trail Blazers,82,57,25,0.695,9135,4th,1st,7,1st,13,FINALS APPEARANCE
1990-91,Portland Trail Blazers,82,63,19,0.768,9407,3rd,1st,7,1st,14,
1989-90,Portland Trail Blazers,82,59,23,0.72,9365,4th,2nd,7,3rd,14,FINALS APPEARANCE
1988-89,Portland Trail Blazers,82,39,43,0.476,9395,6th,5th,7,8th,13,
1987-88,Portland Trail Blazers,82,53,29,0.646,9518,2nd,2nd,6,3rd,12,
1986-87,Portland Trail Blazers,82,49,33,0.598,9667,1st,2nd,6,3rd,12,
1985-86,Portland Trail Blazers,82,40,42,0.488,9436,3rd,2nd,6,6th,12,
1984-85,Portland Trail Blazers,82,42,40,0.512,9469,4th,2nd,6,5th,12,
1983-84,Portland Trail Blazers,82,48,34,0.585,9277,6th,2nd,6,3rd,12,
1982-83,Portland Trail Blazers,82,46,36,0.561,8808,15th,4th,6,5th,12,
1981-82,Portland Trail Blazers,82,42,40,0.512,9006,9th,5th,6,8th,12,
1980-81,Portland Trail Blazers,82,45,37,0.549,9080,6th,3rd,6,4th,12,
1979-80,Portland Trail Blazers,82,38,44,0.463,8402,21st,4th,6,6th,11,
1978-79,Portland Trail Blazers,82,45,37,0.549,8888,14th,4th,6,6th,11,
1977-78,Portland Trail Blazers,82,58,24,0.707,8829,12th,1st,5,1st,11,
1976-77,Portland Trail Blazers,82,49,33,0.598,9163,3rd,2nd,5,3rd,11,LEAGUE CHAMPION
1975-76,Portland Trail Blazers,82,37,45,0.451,8533,11th,Last,5,7th,9,
1974-75,Portland Trail Blazers,82,38,44,0.463,8508,7th,3rd,5,6th,9,
