Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2022-23,LA Clippers,82,44,38,0.537,9314,18th,3rd,5,5th,15,
2021-22,LA Clippers,82,42,40,0.512,8890,23rd,3rd,5,8th,15,
2020-21,LA Clippers,72,47,25,0.653,8209,10th,2nd,5,4th,15,
2019-20,LA Clippers,72,49,23,0.681,8377,5th,2nd,5,2nd,15,
2018-19,LA Clippers,82,48,34,0.585,9442,5th,2nd,5,8th,15,
2016-17,LA Clippers,82,51,31,0.622,8911,6th,2nd,5,4th,15,
2015-16,LA Clippers,82,53,29,0.646,8569,7th,2nd,5,4th,15,
2014-15,LA Clippers,82,56,26,0.683,8751,2nd,2nd,5,3rd,15,
2013-14,LA Clippers,82,57,25,0.695,8850,1st,1st,5,3rd,15,
2012-13,LA Clippers,82,56,26,0.683,8289,9th,1st,5,4th,15,
2011-12,LA Clippers,66,40,26,0.606,6438,14th,2nd,5,5th,15,
2005-06,LA Clippers,82,47,35,0.573,7970,17th,2nd,5,6th,15,
1996-97,LA Clippers,82,36,46,0.439,7969,15th,5th,7,8th,14,
1992-93,LA Clippers,82,41,41,0.5,8783,10th,4th,7,7th,13,
1991-92,LA Clippers,82,45,37,0.549,8440,17th,5th,7,7th,13,
1979-80,LA Clippers,82,35,47,0.427,8820,16th,5th,6,7th,11,
1978-79,LA Clippers,82,43,39,0.524,9278,6th,5th,6,7th,11,
1975-76,LA Clippers,82,46,36,0.561,8795,2nd,2nd,4,4th,9,
1974-75,LA Clippers,82,49,33,0.598,8839,2nd,2nd,4,3rd,9,
