Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2022-23,Memphis Grizzlies,82,51,31,0.622,9587,9th,1st,5,2nd,15,
2021-22,Memphis Grizzlies,82,56,26,0.683,9480,2nd,1st,5,2nd,15,
2016-17,Memphis Grizzlies,82,43,39,0.524,8239,29th,3rd,5,7th,15,
2015-16,Memphis Grizzlies,82,42,40,0.512,8126,24th,3rd,5,7th,15,
2014-15,Memphis Grizzlies,82,55,27,0.671,8062,20th,2nd,5,5th,15,
2013-14,Memphis Grizzlies,82,50,32,0.61,7884,27th,3rd,5,7th,15,
2012-13,Memphis Grizzlies,82,56,26,0.683,7659,27th,2nd,5,5th,15,
2011-12,Memphis Grizzlies,66,41,25,0.621,6269,20th,2nd,5,4th,15,
2010-11,Memphis Grizzlies,82,46,36,0.561,8195,12th,4th,5,8th,15,
2005-06,Memphis Grizzlies,82,49,33,0.598,7558,27th,3rd,5,5th,15,
2004-05,Memphis Grizzlies,82,45,37,0.549,7661,23rd,4th,5,8th,15,
2003-04,Memphis Grizzlies,82,50,32,0.61,7930,7th,4th,7,6th,14,
