Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2021-22,Utah Jazz,82,49,33,0.598,9316,7th,1st,5,5th,15,
2020-21,Utah Jazz,72,52,20,0.722,8382,4th,1st,5,1st,15,
2019-20,Utah Jazz,72,44,28,0.611,8013,18th,3rd,5,6th,15,
2018-19,Utah Jazz,82,50,32,0.61,9161,17th,3rd,5,5th,15,
2017-18,Utah Jazz,82,48,34,0.585,8540,19th,3rd,5,5th,15,
2016-17,Utah Jazz,82,51,31,0.622,8258,28th,1st,5,5th,15,
2011-12,Utah Jazz,66,36,30,0.545,6577,4th,3rd,5,8th,15,
2009-10,Utah Jazz,82,53,29,0.646,8547,4th,2nd,5,5th,15,
2008-09,Utah Jazz,82,48,34,0.585,8492,7th,3rd,5,8th,15,
2007-08,Utah Jazz,82,54,28,0.659,8710,5th,1st,5,4th,15,
2006-07,Utah Jazz,82,51,31,0.622,8322,7th,1st,5,4th,15,
2002-03,Utah Jazz,82,47,35,0.573,7762,17th,4th,7,7th,14,
2001-02,Utah Jazz,82,44,38,0.537,7871,14th,4th,7,8th,14,
2000-01,Utah Jazz,82,53,29,0.646,7959,10th,2nd,7,4th,14,
1999-00,Utah Jazz,82,55,27,0.671,7914,20th,1st,7,2nd,14,
1998-99,Utah Jazz,50,37,13,0.74,4666,9th,1st,7,1st,14,
1997-98,Utah Jazz,82,62,20,0.756,8279,3rd,1st,7,1st,14,FINALS APPEARANCE
1996-97,Utah Jazz,82,64,18,0.78,8454,2nd,1st,7,1st,14,FINALS APPEARANCE
1995-96,Utah Jazz,82,55,27,0.671,8404,11th,2nd,7,3rd,14,
1994-95,Utah Jazz,82,60,22,0.732,8726,5th,2nd,6,3rd,13,
1993-94,Utah Jazz,82,53,29,0.646,8354,10th,3rd,6,5th,13,
1992-93,Utah Jazz,82,47,35,0.573,8709,11th,3rd,6,6th,13,
1991-92,Utah Jazz,82,55,27,0.671,8877,8th,1st,6,2nd,13,
1990-91,Utah Jazz,82,54,28,0.659,8527,16th,2nd,7,5th,14,
1989-90,Utah Jazz,82,55,27,0.671,8760,15th,2nd,7,4th,14,
1988-89,Utah Jazz,82,51,31,0.622,8588,21st,1st,6,2nd,13,
1987-88,Utah Jazz,82,47,35,0.573,8899,11th,3rd,6,5th,12,
1986-87,Utah Jazz,82,44,38,0.537,8844,15th,2nd,6,4th,12,
1985-86,Utah Jazz,82,42,40,0.512,8871,18th,4th,6,5th,12,
1984-85,Utah Jazz,82,41,41,0.5,8937,14th,4th,6,6th,12,
1983-84,Utah Jazz,82,45,37,0.549,9428,5th,1st,6,2nd,12,
1977-78,Utah Jazz,82,39,43,0.476,8826,13th,5th,6,7th,11,
1976-77,Utah Jazz,82,35,47,0.427,8574,16th,5th,6,8th,11,
1975-76,Utah Jazz,82,38,44,0.463,8535,10th,4th,5,7th,9,
