Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2023-24,Los Angeles Lakers,13,7,6,0.538,1461,6th,2nd,5,7th,15,
2022-23,Los Angeles Lakers,82,43,39,0.524,9608,6th,Last,5,7th,15,
2020-21,Los Angeles Lakers,72,42,30,0.583,7887,22nd,3rd,5,7th,15,
2019-20,Los Angeles Lakers,71,52,19,0.732,8054,16th,1st,5,1st,15,LEAGUE CHAMPION
2012-13,Los Angeles Lakers,82,45,37,0.549,8381,6th,3rd,5,7th,15,
2011-12,Los Angeles Lakers,66,41,25,0.621,6422,15th,1st,5,3rd,15,
2010-11,Los Angeles Lakers,82,57,25,0.695,8321,9th,1st,5,2nd,15,
2009-10,Los Angeles Lakers,82,57,25,0.695,8339,12th,1st,5,1st,15,LEAGUE CHAMPION
2008-09,Los Angeles Lakers,82,65,17,0.793,8768,3rd,1st,5,1st,15,LEAGUE CHAMPION
2007-08,Los Angeles Lakers,82,57,25,0.695,8904,4th,1st,5,1st,15,FINALS APPEARANCE
2006-07,Los Angeles Lakers,82,42,40,0.512,8474,5th,3rd,5,7th,15,
2005-06,Los Angeles Lakers,82,45,37,0.549,8154,7th,3rd,5,7th,15,
2003-04,Los Angeles Lakers,82,56,26,0.683,8052,3rd,1st,7,2nd,14,FINALS APPEARANCE
2002-03,Los Angeles Lakers,82,50,32,0.61,8230,4th,2nd,7,5th,14,
2001-02,Los Angeles Lakers,82,58,24,0.707,8304,3rd,2nd,7,3rd,14,LEAGUE CHAMPION
2000-01,Los Angeles Lakers,82,56,26,0.683,8251,3rd,1st,7,2nd,14,LEAGUE CHAMPION
1999-00,Los Angeles Lakers,82,67,15,0.817,8267,6th,1st,7,1st,14,LEAGUE CHAMPION
1998-99,Los Angeles Lakers,50,31,19,0.62,4950,2nd,2nd,7,4th,14,
1997-98,Los Angeles Lakers,82,61,21,0.744,8652,1st,1st,7,2nd,14,
1996-97,Los Angeles Lakers,82,56,26,0.683,8200,8th,2nd,7,4th,14,
1995-96,Los Angeles Lakers,82,53,29,0.646,8438,7th,2nd,7,4th,14,
1994-95,Los Angeles Lakers,82,48,34,0.585,8616,7th,3rd,7,5th,13,
1992-93,Los Angeles Lakers,82,39,43,0.476,8546,17th,5th,7,8th,13,
1991-92,Los Angeles Lakers,82,43,39,0.524,8229,24th,6th,7,8th,13,
1990-91,Los Angeles Lakers,82,58,24,0.707,8717,13th,2nd,7,3rd,14,FINALS APPEARANCE
1989-90,Los Angeles Lakers,82,63,19,0.768,9079,6th,1st,7,1st,14,
1988-89,Los Angeles Lakers,82,57,25,0.695,9406,5th,1st,7,1st,13,FINALS APPEARANCE
1987-88,Los Angeles Lakers,82,62,20,0.756,9250,5th,1st,6,1st,12,LEAGUE CHAMPION
1986-87,Los Angeles Lakers,82,65,17,0.793,9656,2nd,1st,6,1st,12,LEAGUE CHAMPION
1985-86,Los Angeles Lakers,82,62,20,0.756,9618,1st,1st,6,1st,12,
1984-85,Los Angeles Lakers,82,62,20,0.756,9696,2nd,1st,6,1st,12,LEAGUE CHAMPION
1983-84,Los Angeles Lakers,82,54,28,0.659,9478,4th,1st,6,1st,12,FINALS APPEARANCE
1982-83,Los Angeles Lakers,82,58,24,0.707,9433,2nd,1st,6,1st,12,FINALS APPEARANCE
1981-82,Los Angeles Lakers,82,57,25,0.695,9400,2nd,1st,6,1st,12,LEAGUE CHAMPION
1980-81,Los Angeles Lakers,82,54,28,0.659,9117,5th,2nd,6,3rd,12,
1979-80,Los Angeles Lakers,82,60,22,0.732,9438,2nd,1st,6,1st,11,LEAGUE CHAMPION
1978-79,Los Angeles Lakers,82,47,35,0.573,9260,8th,3rd,6,4th,11,
1977-78,Los Angeles Lakers,82,45,37,0.549,9044,8th,4th,5,5th,11,
1976-77,Los Angeles Lakers,82,53,29,0.646,8763,10th,1st,5,1st,11,
1975-76,Los Angeles Lakers,82,40,42,0.488,8764,3rd,4th,5,6th,9,
