Player,Position,Weight,Team,Rk,Age,MP,eFG%,TRB,AST,PTS,Coach-Playoff,Height,New_Rk
Kyrie Irving,SG,195,Dallas Mavericks,1,30,38.2,0.586,5.0,6.0,27.0,4,187.96,1
Luka Doncic,PG,230,Dallas Mavericks,2,23,36.2,0.56,8.6,8.0,32.4,4,200.66,2
Tim Hardaway Jr.,SF,205,Dallas Mavericks,6,30,30.3,0.527,3.5,1.8,14.4,4,195.58,3
Josh Green,SG,200,Dallas Mavericks,8,22,25.7,0.626,3.0,1.7,9.1,4,195.58,4
Maxi Kleber,PF,240,Dallas Mavericks,9,31,25.1,0.571,3.6,1.4,5.9,4,208.28,5
Dwight Powell,C,240,Dallas Mavericks,10,31,19.2,0.732,4.1,0.9,6.7,4,208.28,6
Jaden Hardy,SG,198,Dallas Mavericks,13,20,14.8,0.533,1.9,1.4,8.8,4,193.04,7
Jamal Murray,PG,215,Denver Nuggets,1,25,40.0,0.545,5.7,7.1,26.1,5,193.04,1
Nikola Jokic,C,284,Denver Nuggets,2,27,39.5,0.591,13.5,9.5,30.0,5,210.82,2
Aaron Gordon,PF,235,Denver Nuggets,3,27,35.7,0.564,6.0,2.6,13.3,5,203.2,3
Kentavious Caldwell-Pope,SG,204,Denver Nuggets,4,29,33.6,0.565,3.3,1.6,10.6,5,195.58,4
Michael Porter Jr.,SF,218,Denver Nuggets,5,24,32.7,0.521,8.1,1.6,13.4,5,208.28,5
Christian Braun,SG,218,Denver Nuggets,8,21,13.0,0.556,2.1,0.6,3.2,5,200.66,6
Justin Holiday,SG,180,Denver Nuggets,11,33,16.4,0.468,1.8,0.9,4.4,5,198.12,7
Stephen Curry,PG,185,Golden State Warriors,1,34,37.9,0.558,5.2,6.1,30.5,7,187.96,1
Klay Thompson,SF,215,Golden State Warriors,2,32,36.0,0.502,4.2,2.2,18.5,7,198.12,2
Chris Paul,PG,175,Golden State Warriors,3,37,35.7,0.467,5.0,7.4,12.4,7,182.88,3
Andrew Wiggins,SF,197,Golden State Warriors,3,27,34.0,0.511,5.6,1.9,16.7,7,200.66,4
Draymond Green,PF,230,Golden State Warriors,4,32,30.6,0.489,6.9,6.8,9.4,7,198.12,5
Kevon Looney,C,222,Golden State Warriors,5,26,25.0,0.578,13.1,3.3,6.5,7,205.74,6
Moses Moody,SG,205,Golden State Warriors,9,20,13.4,0.686,2.6,0.7,5.8,7,198.12,7
Dario Saric,PF,225,Golden State Warriors,15,28,13.7,0.606,3.3,0.9,7.4,7,208.28,8
Gary Payton II,SG,190,Golden State Warriors,19,30,17.0,0.695,2.6,1.5,4.1,7,190.5,9
Jalen Green,SG,178,Houston Rockets,2,20,34.2,0.485,3.7,3.7,22.1,1,193.04,1
Jabari Smith Jr.,PF,220,Houston Rockets,3,19,31.0,0.475,7.2,1.3,12.8,1,208.28,2
Reggie Bullock,SF,205,Houston Rockets,5,31,30.3,0.569,3.6,1.4,7.2,1,198.12,3
Alperen Sengun,C,235,Houston Rockets,5,20,28.9,0.565,9.0,3.9,14.8,1,205.74,4
Dillon Brooks,SG,225,Houston Rockets,5,27,27.8,0.377,3.0,1.8,10.5,1,200.66,5
Jae'Sean Tate,SF,230,Houston Rockets,7,27,21.8,0.509,3.8,2.7,9.1,1,193.04,6
Jeff Green,PF,235,Houston Rockets,7,36,17.2,0.524,1.6,0.7,4.1,1,203.2,7
Tari Eason,PF,216,Houston Rockets,8,21,21.5,0.493,6.0,1.1,9.3,1,203.2,8
Jock Landale,C,256,Houston Rockets,9,27,16.1,0.63,4.0,0.4,6.1,1,210.82,9
Jeenathan Williams,SG,205,Houston Rockets,10,23,25.4,0.654,3.0,2.0,10.6,1,195.58,10
Kawhi Leonard,SF,225,LA Clippers,1,31,40.0,0.614,6.5,6.0,34.5,5,200.66,1
Russell Westbrook,PG,200,LA Clippers,2,34,38.4,0.457,7.6,7.4,23.6,5,190.5,2
Norman Powell,SG,215,LA Clippers,3,29,33.4,0.559,3.0,2.2,21.8,5,190.5,3
Terance Mann,SG,215,LA Clippers,5,26,26.6,0.712,3.2,2.2,10.6,5,195.58,4
Kenyon Martin Jr.,SF,215,LA Clippers,6,22,28.0,0.617,5.5,1.5,12.7,5,198.12,5
Ivica Zubac,C,240,LA Clippers,6,25,26.0,0.567,9.6,0.6,9.2,5,213.36,6
Marcus Morris,PF,218,LA Clippers,7,33,22.7,0.379,4.0,0.0,8.7,5,203.2,7
Nicolas Batum,PF,230,LA Clippers,8,34,18.4,0.579,2.2,1.2,4.4,5,203.2,8
Mason Plumlee,C,254,LA Clippers,9,32,18.2,0.875,6.8,1.8,8.2,5,210.82,9
Bones Hyland,PG,173,LA Clippers,10,22,16.4,0.398,0.8,0.8,8.6,5,190.5,10
LeBron James,PF,250,Los Angeles Lakers,1,38,38.7,0.546,9.9,6.5,24.5,1,205.74,1
Anthony Davis,C,253,Los Angeles Lakers,2,29,38.0,0.53,14.1,2.6,22.6,1,208.28,2
Austin Reaves,SG,206,Los Angeles Lakers,3,24,36.2,0.564,4.4,4.6,16.9,1,195.58,3
D'Angelo Russell,PG,193,Los Angeles Lakers,4,26,29.6,0.495,2.9,4.6,13.3,1,193.04,4
Rui Hachimura,PF,230,Los Angeles Lakers,6,24,24.3,0.63,3.6,0.6,12.2,1,203.2,5
Cam Reddish,SF,218,Los Angeles Lakers,7,23,27.6,0.523,2.9,1.9,11.0,1,203.2,6
Christian Wood,PF,214,Los Angeles Lakers,7,27,25.9,0.583,7.3,1.8,16.6,1,208.28,7
Jarred Vanderbilt,PF,214,Los Angeles Lakers,7,23,16.5,0.458,3.2,0.8,4.6,1,205.74,8
Taurean Prince,PF,218,Los Angeles Lakers,8,28,22.1,0.565,2.4,1.6,9.1,1,200.66,9
Jaxson Hayes,C,220,Los Angeles Lakers,13,22,13.0,0.561,2.8,0.7,5.0,1,210.82,10
Desmond Bane,SG,215,Memphis Grizzlies,1,24,38.5,0.491,6.0,3.2,23.5,3,195.58,1
Ja Morant,PG,174,Memphis Grizzlies,2,23,37.4,0.486,6.8,7.0,24.6,3,190.5,2
Jaren Jackson Jr.,C,242,Memphis Grizzlies,3,23,36.7,0.464,7.8,1.5,18.0,3,210.82,3
Xavier Tillman Sr.,C,245,Memphis Grizzlies,4,24,30.5,0.544,8.0,3.2,8.7,3,203.2,4
Luke Kennard,SG,206,Memphis Grizzlies,6,26,21.4,0.696,4.0,1.4,7.2,3,195.58,5
Santi Aldama,PF,224,Memphis Grizzlies,8,22,16.8,0.561,4.3,1.2,6.5,3,210.82,6
David Roddy,PF,255,Memphis Grizzlies,9,21,12.7,0.379,2.8,0.7,3.8,3,198.12,7
Anthony Edwards,SG,225,Minnesota Timberwolves,1,21,36.0,0.528,5.8,4.4,24.6,2,193.04,1
