Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2023-24,Denver Nuggets,11,9,2,0.818,1259,15th,1st,5,1st,15,
2022-23,Denver Nuggets,82,53,29,0.646,9495,12th,1st,5,1st,15,LEAGUE CHAMPION
2021-22,Denver Nuggets,82,48,34,0.585,9243,10th,2nd,5,6th,15,
2020-21,Denver Nuggets,72,47,25,0.653,8284,8th,2nd,5,3rd,15,
2019-20,Denver Nuggets,73,46,27,0.63,8124,12th,1st,5,3rd,15,
2018-19,Denver Nuggets,82,54,28,0.659,9075,20th,1st,5,2nd,15,
2012-13,Denver Nuggets,82,57,25,0.695,8704,1st,2nd,5,3rd,15,
2011-12,Denver Nuggets,66,38,28,0.576,6872,1st,2nd,5,6th,15,
2010-11,Denver Nuggets,82,50,32,0.61,8811,1st,2nd,5,5th,15,
2009-10,Denver Nuggets,82,53,29,0.646,8729,3rd,1st,5,4th,15,
2008-09,Denver Nuggets,82,54,28,0.659,8555,6th,1st,5,2nd,15,
2007-08,Denver Nuggets,82,50,32,0.61,9074,2nd,2nd,5,8th,15,
2006-07,Denver Nuggets,82,45,37,0.549,8639,3rd,2nd,5,6th,15,
2005-06,Denver Nuggets,82,44,38,0.537,8227,5th,1st,5,4th,15,
2004-05,Denver Nuggets,82,49,33,0.598,8161,8th,2nd,5,7th,15,
2003-04,Denver Nuggets,82,43,39,0.524,7972,5th,6th,7,8th,14,
1994-95,Denver Nuggets,82,41,41,0.5,8309,13th,4th,6,8th,13,
1993-94,Denver Nuggets,82,42,40,0.512,8221,19th,4th,6,8th,13,
1989-90,Denver Nuggets,82,43,39,0.524,9397,3rd,4th,7,7th,14,
1988-89,Denver Nuggets,82,44,38,0.537,9675,2nd,3rd,6,6th,13,
1987-88,Denver Nuggets,82,54,28,0.659,9573,1st,1st,6,2nd,12,
1986-87,Denver Nuggets,82,37,45,0.451,9569,3rd,4th,6,8th,12,
1985-86,Denver Nuggets,82,47,35,0.573,9410,4th,2nd,6,3rd,12,
1984-85,Denver Nuggets,82,52,30,0.634,9841,1st,1st,6,2nd,12,
1983-84,Denver Nuggets,82,38,44,0.463,10147,1st,3rd,6,7th,12,
1982-83,Denver Nuggets,82,45,37,0.549,10105,1st,2nd,6,6th,12,
1981-82,Denver Nuggets,82,46,36,0.561,10371,1st,2nd,6,4th,12,
1980-81,Denver Nuggets,82,37,45,0.451,9986,1st,4th,6,8th,12,
1979-80,Denver Nuggets,82,30,52,0.366,8878,14th,3rd,5,8th,11,
1978-79,Denver Nuggets,82,47,35,0.573,9080,9th,2nd,5,4th,11,
1977-78,Denver Nuggets,82,48,34,0.585,9164,6th,1st,6,2nd,11,
1976-77,Denver Nuggets,82,50,32,0.61,9233,2nd,1st,6,2nd,11,
