Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2023-24,Houston Rockets,10,6,4,0.6,1099,30th,2nd,5,6th,15,
2019-20,Houston Rockets,72,44,28,0.611,8482,4th,1st,5,4th,15,
2018-19,Houston Rockets,82,53,29,0.646,9341,11th,1st,5,4th,15,
2017-18,Houston Rockets,82,65,17,0.793,9213,2nd,1st,5,1st,15,
2016-17,Houston Rockets,82,55,27,0.671,9458,2nd,2nd,5,3rd,15,
2015-16,Houston Rockets,82,41,41,0.5,8737,4th,4th,5,8th,15,
2014-15,Houston Rockets,82,56,26,0.683,8522,6th,1st,5,2nd,15,
2013-14,Houston Rockets,82,54,28,0.659,8829,2nd,2nd,5,4th,15,
2012-13,Houston Rockets,82,45,37,0.549,8688,2nd,3rd,5,8th,15,
2008-09,Houston Rockets,82,53,29,0.646,8070,17th,2nd,5,5th,15,
2007-08,Houston Rockets,82,55,27,0.671,7931,22nd,3rd,5,5th,15,
2006-07,Houston Rockets,82,52,30,0.634,7953,17th,3rd,5,5th,15,
2004-05,Houston Rockets,82,51,31,0.622,7796,20th,3rd,5,5th,15,
2003-04,Houston Rockets,82,45,37,0.549,7362,25th,5th,7,7th,14,
1998-99,Houston Rockets,50,31,19,0.62,4711,7th,3rd,7,4th,14,
1997-98,Houston Rockets,82,41,41,0.5,8099,7th,4th,7,8th,14,
1996-97,Houston Rockets,82,57,25,0.695,8248,5th,2nd,7,2nd,14,
1995-96,Houston Rockets,82,48,34,0.585,8404,11th,3rd,7,5th,14,
1994-95,Houston Rockets,82,47,35,0.573,8491,8th,3rd,6,6th,13,LEAGUE CHAMPION
1993-94,Houston Rockets,82,58,24,0.707,8292,13th,1st,6,2nd,13,LEAGUE CHAMPION
1992-93,Houston Rockets,82,55,27,0.671,8531,18th,1st,6,2nd,13,
1990-91,Houston Rockets,82,52,30,0.634,8753,10th,3rd,7,6th,14,
1989-90,Houston Rockets,82,41,41,0.5,8752,16th,5th,7,8th,14,
1988-89,Houston Rockets,82,45,37,0.549,8897,13th,2nd,6,5th,13,
1987-88,Houston Rockets,82,46,36,0.561,8935,9th,4th,6,6th,12,
1986-87,Houston Rockets,82,42,40,0.512,8765,16th,3rd,6,5th,12,
1985-86,Houston Rockets,82,51,31,0.622,9379,6th,1st,6,2nd,12,FINALS APPEARANCE
1984-85,Houston Rockets,82,48,34,0.585,9118,9th,2nd,6,3rd,12,
1981-82,Houston Rockets,82,46,36,0.561,8680,18th,2nd,6,4th,12,
1980-81,Houston Rockets,82,40,42,0.488,8878,11th,2nd,6,5th,12,FINALS APPEARANCE
1979-80,Houston Rockets,82,41,41,0.5,9084,8th,2nd,6,4th,11,
1978-79,Houston Rockets,82,47,35,0.573,9297,5th,2nd,6,3rd,11,
1976-77,Houston Rockets,82,49,33,0.598,8726,12th,1st,6,2nd,11,
1975-76,Houston Rockets,82,40,42,0.488,8708,6th,3rd,5,6th,9,
1974-75,Houston Rockets,82,41,41,0.5,8521,6th,2nd,5,4th,9,
