Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2018-19,San Antonio Spurs,82,48,34,0.585,9156,18th,2nd,5,7th,15,
2017-18,San Antonio Spurs,82,47,35,0.573,8424,27th,3rd,5,7th,15,
2016-17,San Antonio Spurs,82,61,21,0.744,8637,14th,1st,5,2nd,15,
2015-16,San Antonio Spurs,82,67,15,0.817,8490,10th,1st,5,2nd,15,
2014-15,San Antonio Spurs,82,55,27,0.671,8461,7th,3rd,5,6th,15,
2013-14,San Antonio Spurs,82,62,20,0.756,8639,6th,1st,5,1st,15,LEAGUE CHAMPION
2012-13,San Antonio Spurs,82,58,24,0.707,8448,4th,1st,5,2nd,15,FINALS APPEARANCE
2011-12,San Antonio Spurs,66,50,16,0.758,6841,2nd,1st,5,1st,15,
2010-11,San Antonio Spurs,82,61,21,0.744,8502,6th,1st,5,1st,15,
2009-10,San Antonio Spurs,82,50,32,0.61,8312,15th,2nd,5,7th,15,
2008-09,San Antonio Spurs,82,54,28,0.659,7958,23rd,1st,5,3rd,15,
2007-08,San Antonio Spurs,82,56,26,0.683,7820,27th,2nd,5,3rd,15,
2006-07,San Antonio Spurs,82,58,24,0.707,8079,14th,2nd,5,3rd,15,LEAGUE CHAMPION
2005-06,San Antonio Spurs,82,63,19,0.768,7837,21st,1st,5,1st,15,
2004-05,San Antonio Spurs,82,59,23,0.72,7888,18th,1st,5,2nd,15,LEAGUE CHAMPION
2003-04,San Antonio Spurs,82,57,25,0.695,7501,19th,2nd,7,3rd,14,
2002-03,San Antonio Spurs,82,60,22,0.732,7856,12th,1st,7,1st,14,LEAGUE CHAMPION
2001-02,San Antonio Spurs,82,58,24,0.707,7932,10th,1st,7,2nd,14,
2000-01,San Antonio Spurs,82,58,24,0.707,7886,12th,1st,7,1st,14,
1999-00,San Antonio Spurs,82,53,29,0.646,7886,21st,2nd,7,4th,14,
1998-99,San Antonio Spurs,50,37,13,0.74,4640,13th,1st,7,1st,14,LEAGUE CHAMPION
1997-98,San Antonio Spurs,82,56,26,0.683,7587,23rd,2nd,7,4th,14,
1995-96,San Antonio Spurs,82,59,23,0.72,8477,6th,1st,7,2nd,14,
1994-95,San Antonio Spurs,82,62,20,0.756,8742,4th,1st,6,1st,13,
1993-94,San Antonio Spurs,82,55,27,0.671,8202,20th,2nd,6,4th,13,
1992-93,San Antonio Spurs,82,49,33,0.598,8652,12th,2nd,6,5th,13,
1991-92,San Antonio Spurs,82,47,35,0.573,8524,16th,2nd,6,5th,13,
1990-91,San Antonio Spurs,82,55,27,0.671,8782,9th,1st,7,2nd,14,
1989-90,San Antonio Spurs,82,56,26,0.683,8718,17th,1st,7,2nd,14,
1987-88,San Antonio Spurs,82,31,51,0.378,9314,4th,5th,6,8th,12,
1985-86,San Antonio Spurs,82,35,47,0.427,9120,10th,Last,6,8th,12,
1984-85,San Antonio Spurs,82,41,41,0.5,9412,6th,4th,6,6th,12,
1982-83,San Antonio Spurs,82,53,29,0.646,9375,3rd,1st,6,2nd,12,
1981-82,San Antonio Spurs,82,48,34,0.585,9272,3rd,1st,6,2nd,12,
1980-81,San Antonio Spurs,82,52,30,0.634,9209,3rd,1st,6,2nd,12,
1979-80,San Antonio Spurs,82,41,41,0.5,9788,1st,2nd,6,4th,11,
1978-79,San Antonio Spurs,82,48,34,0.585,9780,1st,1st,6,2nd,11,
1977-78,San Antonio Spurs,82,52,30,0.634,9385,2nd,1st,6,2nd,11,
1976-77,San Antonio Spurs,82,44,38,0.537,9432,1st,3rd,6,4th,11,
