Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2023-24,Phoenix Suns,12,6,6,0.5,1382,16th,3rd,5,8th,15,
2022-23,Phoenix Suns,82,45,37,0.549,9319,17th,2nd,5,4th,15,
2021-22,Phoenix Suns,82,64,18,0.78,9416,5th,1st,5,1st,15,
2020-21,Phoenix Suns,72,51,21,0.708,8300,7th,1st,5,2nd,15,FINALS APPEARANCE
2009-10,Phoenix Suns,82,54,28,0.659,9039,1st,2nd,5,3rd,15,
2007-08,Phoenix Suns,82,55,27,0.671,9026,3rd,2nd,5,6th,15,
2006-07,Phoenix Suns,82,61,21,0.744,9037,1st,1st,5,2nd,15,
2005-06,Phoenix Suns,82,54,28,0.659,8886,1st,1st,5,3rd,15,
2004-05,Phoenix Suns,82,62,20,0.756,9054,1st,1st,5,1st,15,
2002-03,Phoenix Suns,82,44,38,0.537,7834,13th,4th,7,8th,14,
2000-01,Phoenix Suns,82,51,31,0.622,7710,17th,3rd,7,6th,14,
1999-00,Phoenix Suns,82,53,29,0.646,8111,12th,3rd,7,4th,14,
1998-99,Phoenix Suns,50,27,23,0.54,4779,3rd,3rd,7,6th,14,
1997-98,Phoenix Suns,82,56,26,0.683,8166,6th,3rd,7,4th,14,
1996-97,Phoenix Suns,82,40,42,0.488,8431,3rd,4th,7,6th,14,
1995-96,Phoenix Suns,82,41,41,0.5,8552,4th,4th,7,7th,14,
1994-95,Phoenix Suns,82,59,23,0.72,9073,2nd,1st,7,2nd,13,
1993-94,Phoenix Suns,82,56,26,0.683,8876,1st,2nd,7,3rd,13,
1992-93,Phoenix Suns,82,62,20,0.756,9298,1st,1st,7,1st,13,FINALS APPEARANCE
1991-92,Phoenix Suns,82,53,29,0.646,9194,3rd,3rd,7,4th,13,
1990-91,Phoenix Suns,82,55,27,0.671,9348,4th,3rd,7,4th,14,
1989-90,Phoenix Suns,82,54,28,0.659,9423,2nd,3rd,7,5th,14,
1988-89,Phoenix Suns,82,55,27,0.671,9727,1st,2nd,7,3rd,13,
1984-85,Phoenix Suns,82,36,46,0.439,8858,18th,3rd,6,8th,12,
1983-84,Phoenix Suns,82,41,41,0.5,9101,8th,4th,6,6th,12,
1982-83,Phoenix Suns,82,53,29,0.646,8776,16th,2nd,6,2nd,12,
1981-82,Phoenix Suns,82,46,36,0.561,8705,17th,3rd,6,4th,12,
1980-81,Phoenix Suns,82,57,25,0.695,9019,7th,1st,6,1st,12,
1979-80,Phoenix Suns,82,55,27,0.671,9114,7th,3rd,6,4th,11,
1978-79,Phoenix Suns,82,50,32,0.61,9459,2nd,2nd,6,3rd,11,
1977-78,Phoenix Suns,82,49,33,0.598,9211,5th,2nd,5,3rd,11,
1975-76,Phoenix Suns,82,42,40,0.512,8620,8th,3rd,5,4th,9,FINALS APPEARANCE
1974-75,Phoenix Suns,82,32,50,0.39,8297,12th,4th,5,8th,9,
