Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2023-24,Oklahoma City Thunder,13,9,4,0.692,1540,4th,3rd,5,4th,15,
2019-20,Oklahoma City Thunder,72,44,28,0.611,7950,20th,2nd,5,5th,15,
2018-19,Oklahoma City Thunder,82,49,33,0.598,9387,7th,4th,5,6th,15,
2017-18,Oklahoma City Thunder,82,48,34,0.585,8844,12th,2nd,5,4th,15,
2016-17,Oklahoma City Thunder,82,47,35,0.573,8741,11th,2nd,5,6th,15,
2015-16,Oklahoma City Thunder,82,55,27,0.671,9038,2nd,1st,5,3rd,15,
2013-14,Oklahoma City Thunder,82,59,23,0.72,8705,5th,1st,5,2nd,15,
2012-13,Oklahoma City Thunder,82,60,22,0.732,8669,3rd,1st,5,1st,15,
2011-12,Oklahoma City Thunder,66,47,19,0.712,6802,3rd,1st,5,2nd,15,FINALS APPEARANCE
2010-11,Oklahoma City Thunder,82,55,27,0.671,8596,5th,1st,5,4th,15,
2009-10,Oklahoma City Thunder,82,50,32,0.61,8322,14th,4th,5,8th,15,
2004-05,Oklahoma City Thunder,82,52,30,0.634,8113,11th,1st,5,4th,15,
2001-02,Oklahoma City Thunder,82,45,37,0.549,8014,6th,4th,7,7th,14,
1999-00,Oklahoma City Thunder,82,45,37,0.549,8125,10th,4th,7,7th,14,
1998-99,Oklahoma City Thunder,50,25,25,0.5,4743,4th,5th,7,8th,14,
1997-98,Oklahoma City Thunder,82,61,21,0.744,8246,4th,1st,7,2nd,14,
1996-97,Oklahoma City Thunder,82,57,25,0.695,8274,4th,1st,7,2nd,14,
1995-96,Oklahoma City Thunder,82,64,18,0.78,8572,2nd,1st,7,1st,14,FINALS APPEARANCE
1994-95,Oklahoma City Thunder,82,57,25,0.695,9055,3rd,2nd,7,4th,13,
1993-94,Oklahoma City Thunder,82,63,19,0.768,8687,5th,1st,7,1st,13,
1992-93,Oklahoma City Thunder,82,55,27,0.671,8884,5th,2nd,7,2nd,13,
1991-92,Oklahoma City Thunder,82,47,35,0.573,8737,10th,4th,7,5th,13,
1990-91,Oklahoma City Thunder,82,41,41,0.5,8744,11th,5th,7,8th,14,
1989-90,Oklahoma City Thunder,82,41,41,0.5,8769,14th,4th,7,8th,14,
1988-89,Oklahoma City Thunder,82,47,35,0.573,9196,7th,3rd,7,4th,13,
1987-88,Oklahoma City Thunder,82,44,38,0.537,9135,6th,3rd,6,7th,12,
1986-87,Oklahoma City Thunder,82,39,43,0.476,9325,5th,4th,6,7th,12,
1983-84,Oklahoma City Thunder,82,42,40,0.512,8865,15th,3rd,6,5th,12,
1982-83,Oklahoma City Thunder,82,48,34,0.585,9019,10th,3rd,6,4th,12,
1981-82,Oklahoma City Thunder,82,52,30,0.634,8795,12th,2nd,6,3rd,12,
1979-80,Oklahoma City Thunder,82,56,26,0.683,8897,12th,2nd,6,3rd,11,
1978-79,Oklahoma City Thunder,82,52,30,0.634,8740,19th,1st,6,1st,11,LEAGUE CHAMPION
1977-78,Oklahoma City Thunder,82,47,35,0.573,8565,18th,3rd,5,4th,11,FINALS APPEARANCE
1976-77,Oklahoma City Thunder,82,40,42,0.488,8524,18th,4th,5,7th,11,
1975-76,Oklahoma City Thunder,82,43,39,0.524,8726,5th,2nd,5,3rd,9,
1974-75,Oklahoma City Thunder,82,43,39,0.524,8451,9th,2nd,5,4th,9,
