Rk,Player,Age,MP,eFG%,FT%,TRB,AST,PTS,Team
1,Jamal Murray,25,40.0,.545,.926,5.7,7.1,26.1,Nuggets
2,Nikola Jokić,27,39.5,.591,.799,13.5,9.5,30.0,Nuggets
3,Aaron Gordon,27,35.7,.564,.652,6.0,2.6,13.3,Nuggets
4,Kentavious Caldwell-Pope,29,33.6,.565,.829,3.3,1.6,10.6,Nuggets
5,Michael Porter Jr.,24,32.7,.521,.793,8.1,1.6,13.4,Nuggets
6,Bruce Brown,26,26.5,.563,.857,4.0,1.9,12.0,Nuggets
7,Jeff Green,36,17.2,.524,.895,1.6,0.7,4.1,Nuggets
8,Christian Braun,21,13.0,.556,.579,2.1,0.6,3.2,Nuggets
9,DeAndre Jordan,34,3.5,.667,.500,1.0,0.3,1.3,Nuggets
10,Reggie Jackson,32,3.0,.750,,0.3,0.3,0.5,Nuggets
11,Ish Smith,34,3.0,.500,,0.3,0.3,0.5,Nuggets
12,Peyton Watson,20,2.8,.500,,0.8,0.2,1.0,Nuggets
13,Zeke Nnaji,22,2.4,.625,,0.4,0.0,1.0,Nuggets
14,Vlatko Čančar,25,2.0,.000,,0.6,0.2,0.0,Nuggets
15,Thomas Bryant,25,0.0,,,0.0,0.0,0.0,Nuggets
1,Desmond Bane,24,38.5,.491,.931,6.0,3.2,23.5,Grizzlies
2,Ja Morant,23,37.4,.486,.769,6.8,7.0,24.6,Grizzlies
3,Jaren Jackson Jr.,23,36.7,.464,.861,7.8,1.5,18.0,Grizzlies
4,Xavier Tillman Sr.,24,30.5,.544,.600,8.0,3.2,8.7,Grizzlies
5,Dillon Brooks,27,27.8,.377,.714,3.0,1.8,10.5,Grizzlies
6,Luke Kennard,26,21.4,.696,1.000,4.0,1.4,7.2,Grizzlies
7,Tyus Jones,26,20.0,.347,.667,3.0,3.7,4.5,Grizzlies
8,Santi Aldama,22,16.8,.561,1.000,4.3,1.2,6.5,Grizzlies
9,David Roddy,21,12.7,.379,1.000,2.8,0.7,3.8,Grizzlies
10,John Konchar,26,9.8,.222,,2.0,0.8,0.8,Grizzlies
