Player,Position,Height,Weight,Team,Rk,Age,MP,eFG%,TRB,AST,PTS,Coach-Playoff
Zion Williamson,PF,6-6,284,New Orleans Pelicans,3,22,33.0,0.615,7.0,4.6,26.0,1
Brandon Ingram,SF,6-8,190,New Orleans Pelicans,2,25,34.2,0.522,5.5,5.8,24.7,1
CJ McCollum,SG,6-3,190,New Orleans Pelicans,1,31,35.3,0.515,4.4,5.7,20.9,1
Herbert Jones,PF,6-8,210,New Orleans Pelicans,5,24,29.6,0.525,4.1,2.5,9.8,1
Jonas Valančiūnas,C,6-11,265,New Orleans Pelicans,6,30,24.9,0.57,10.2,1.8,14.1,1
Dyson Daniels,PG,6-8,199,New Orleans Pelicans,11,19,17.7,0.483,3.2,2.3,3.8,1
Larry Nance Jr.,C,6-7,245,New Orleans Pelicans,10,30,21.2,0.633,5.4,1.8,6.8,1
Naji Marshall,SF,6-7,220,New Orleans Pelicans,7,25,23.3,0.49,3.6,2.5,9.1,1
Trey Murphy III,SF,6-9,206,New Orleans Pelicans,4,22,31.0,0.61,3.6,1.4,14.5,1
Jose Alvarado,PG,6-0,179,New Orleans Pelicans,9,24,21.5,0.496,2.3,3.0,9.0,1
Shai Gilgeous-Alexander,PG,6-6,180,Oklahoma City Thunder,1,24,35.5,0.531,4.8,5.5,31.4,0
Luguentz Dort,SF,6-3,215,Oklahoma City Thunder,3,23,30.7,0.466,4.6,2.1,13.7,0
Jalen Williams,SG,6-6,195,Oklahoma City Thunder,4,21,30.3,0.567,4.5,3.3,14.1,0
Isaiah Joe,SG,6-4,165,Oklahoma City Thunder,7,23,19.1,0.599,2.4,1.2,9.5,0
Josh Giddey,PF,6-8,210,Oklahoma City Thunder,2,20,31.1,0.516,7.9,6.2,16.6,0
Ousmane Dieng,PF,6-10,216,Oklahoma City Thunder,13,19,14.6,0.492,2.7,1.2,4.9,0
Aaron Wiggins,SG,6-6,200,Oklahoma City Thunder,10,24,18.5,0.579,3.0,1.1,6.8,0
Tre Mann,PG,6-3,178,Oklahoma City Thunder,11,21,17.7,0.474,2.3,1.8,7.7,0
Aleksej Pokusevski,PF,7-0,190,Oklahoma City Thunder,6,21,20.6,0.51,4.7,1.9,8.1,0
Jaylin Williams,C,6-10,240,Oklahoma City Thunder,9,20,18.7,0.534,4.9,1.6,5.9,0
Kenrich Williams,PF,6-6,210,Oklahoma City Thunder,5,28,22.8,0.59,4.9,2.0,8.0,0
Dāvis Bertāns,PF,6-10,225,Oklahoma City Thunder,16,30,10.9,0.603,1.2,0.5,4.6,0
Nikola Jokić,C,6-11,284,Denver Nuggets,2,27,39.5,0.591,13.5,9.5,30.0,5
Jamal Murray,PG,6-4,215,Denver Nuggets,1,25,40.0,0.545,5.7,7.1,26.1,5
Kentavious Caldwell-Pope,SG,6-5,204,Denver Nuggets,4,29,33.6,0.565,3.3,1.6,10.6,5
Aaron Gordon,PF,6-8,235,Denver Nuggets,3,27,35.7,0.564,6.0,2.6,13.3,5
Michael Porter Jr.,SF,6-10,218,Denver Nuggets,5,24,32.7,0.521,8.1,1.6,13.4,5
Christian Braun,SG,6-7,218,Denver Nuggets,8,21,13.0,0.556,2.1,0.6,3.2,5
Justin Holiday,SG,6-6,180,Denver Nuggets,11,33,16.4,0.468,1.8,0.9,4.4,5
Luka Dončić,PG,6-7,230,Dallas Mavericks,2,23,36.2,0.56,8.6,8.0,32.4,4
Kyrie Irving,SG,6-2,195,Dallas Mavericks,1,30,38.2,0.586,5.0,6.0,27.0,4
Tim Hardaway Jr.,SF,6-5,205,Dallas Mavericks,6,30,30.3,0.527,3.5,1.8,14.4,4
Josh Green,SG,6-5,200,Dallas Mavericks,8,22,25.7,0.626,3.0,1.7,9.1,4
Maxi Kleber,PF,6-10,240,Dallas Mavericks,9,31,25.1,0.571,3.6,1.4,5.9,4
Dwight Powell,C,6-10,240,Dallas Mavericks,10,31,19.2,0.732,4.1,0.9,6.7,4
Jaden Hardy,SG,6-4,198,Dallas Mavericks,13,20,14.8,0.533,1.9,1.4,8.8,4
Kevin Durant,PF,6-10,240,Phoenix Suns,1,34,42.4,0.516,8.7,5.5,29.0,7
Eric Gordon,SG,6-3,215,Phoenix Suns,4,34,29.8,0.523,1.4,2.6,10.2,7
Eric Gordon,SG,6-3,215,Phoenix Suns,4,34,30.2,0.528,2.1,2.9,13.1,7
Josh Okogie,SG,6-4,213,Phoenix Suns,7,24,17.5,0.405,2.1,1.3,4.1,7
Jusuf Nurkić,C,6-11,290,Phoenix Suns,9,28,26.8,0.561,9.1,2.9,13.3,7
Drew Eubanks,C,6-9,245,Phoenix Suns,15,25,20.3,0.651,5.4,1.3,6.6,7
Nassir Little,PF,6-5,220,Phoenix Suns,17,22,18.1,0.538,2.6,0.9,6.6,7
Devin Booker,SG,6-5,206,Phoenix Suns,2,26,41.7,0.649,4.8,7.2,33.7,7
Keita Bates-Diop,SF,6-8,229,Phoenix Suns,12,27,21.7,0.568,3.7,1.5,9.7,7
Damion Lee,SG,6-5,210,Phoenix Suns,12,30,11.1,0.375,1.4,0.6,2.1,7
Anthony Edwards,SG,6-4,225,Minnesota Timberwolves,1,21,36.0,0.528,5.8,4.4,24.6,2
Naz Reid,C,6-9,264,Minnesota Timberwolves,11,23,18.4,0.602,4.9,1.1,11.5,2
Karl-Anthony Towns,PF,6-11,248,Minnesota Timberwolves,2,27,33.0,0.565,8.1,4.8,20.8,2
Rudy Gobert,C,7-1,258,Minnesota Timberwolves,5,30,30.7,0.659,11.6,1.2,13.4,2
Mike Conley,PG,6-1,175,Minnesota Timberwolves,4,35,31.4,0.583,3.1,5.0,14.0,2
Mike Conley,PG,6-1,175,Minnesota Timberwolves,3,35,29.7,0.511,2.5,7.7,10.7,2
Kyle Anderson,PF,6-9,230,Minnesota Timberwolves,7,29,28.4,0.553,5.3,4.9,9.4,2
Nickeil Alexander-Walker,SG,6-6,205,Minnesota Timberwolves,13,24,15.5,0.488,1.8,1.4,5.9,2
Nickeil Alexander-Walker,SG,6-6,205,Minnesota Timberwolves,16,24,14.7,0.591,1.6,2.1,6.3,2
Troy Brown Jr.,SF,6-6,215,Minnesota Timberwolves,9,23,10.3,0.393,2.0,0.9,1.8,2
Jordan McLaughlin,PG,5-11,185,Minnesota Timberwolves,12,26,15.8,0.503,1.4,3.4,3.7,2
Daishen Nix,PG,6-5,224,Minnesota Timberwolves,9,20,16.0,0.426,1.7,2.3,4.0,2
Jaden McDaniels,SF,6-9,185,Minnesota Timberwolves,6,22,30.6,0.591,3.9,1.9,12.1,2
Anthony Davis,C,6-10,253,Los Angeles Lakers,2,29,38.0,0.53,14.1,2.6,22.6,1
LeBron James,PF,6-9,250,Los Angeles Lakers,1,38,38.7,0.546,9.9,6.5,24.5,1
D'Angelo Russell,PG,6-4,193,Los Angeles Lakers,4,26,29.6,0.495,2.9,4.6,13.3,1
D'Angelo Russell,PG,6-4,193,Los Angeles Lakers,3,26,32.9,0.567,3.1,6.2,17.9,1
Austin Reaves,SG,6-5,206,Los Angeles Lakers,3,24,36.2,0.564,4.4,4.6,16.9,1
Taurean Prince,PF,6-7,218,Los Angeles Lakers,8,28,22.1,0.565,2.4,1.6,9.1,1
Christian Wood,PF,6-10,214,Los Angeles Lakers,7,27,25.9,0.583,7.3,1.8,16.6,1
Rui Hachimura,PF,6-8,230,Los Angeles Lakers,6,24,24.3,0.63,3.6,0.6,12.2,1
Cam Reddish,SF,6-8,218,Los Angeles Lakers,7,23,27.6,0.523,2.9,1.9,11.0,1
Jaxson Hayes,C,6-11,220,Los Angeles Lakers,13,22,13.0,0.561,2.8,0.7,5.0,1
Jarred Vanderbilt,PF,6-9,214,Los Angeles Lakers,7,23,16.5,0.458,3.2,0.8,4.6,1
